IDENTIFICADOR,MUNICIPIO,LOCALIDAD,DENOMINACIÓN,Término de búsqueda,FECHA DECLARACIÓN BIC,PROTECCIÓN DEL BIEN: CATEGORÍA DE PROTECCIÓN,CLASIFICACIÓN TIPOLÓGICA: Tipología
1,Adanero,Adanero,Iglesia de Nuestra Señora de la Asunción,Iglesia de Nuestra Señora de la Asunción de Adanero,1998-12-10,Monumento,Patrimonio arquitectónico
2,La Adrada,La Adrada,Castillo de La Adrada,Castillo de La Adrada,1949-04-22,Castillos,Patrimonio arquitectónico
3,Aldeanueva de Santa Cruz,Aldeanueva de Santa Cruz,Antiguo Convento de las Monjas,Antiguo Convento de las Monjas de Aldeanueva de Santa Cruz,1993-03-11,Monumento,Patrimonio arquitectónico
4,El Arenal,El Arenal ,Rollo de justicia,Rollo de justicia de El Arenal,1963-03-14,Rollos de justicia,Patrimonio arquitectónico
5,Arenas de San Pedro,Arenas de San Pedro,Rollo de justicia,Rollo de justicia de Arenas de San Pedro,1963-03-15,Rollos de justicia,Patrimonio arquitectónico
6,Arenas de San Pedro,Arenas de San Pedro,Capilla Real de San Pedro de Alcántara,Capilla Real de San Pedro de Alcántara,1972-10-26,Monumento,Patrimonio arquitectónico
7,Arenas de San Pedro,Arenas de San Pedro,Castillo de la Triste Condesa,Castillo de la Triste Condesa,1931-06-03,Monumento,Patrimonio arquitectónico
8,Arenas de San Pedro,Arenas de San Pedro,Palacio de la Mosquera o Palacio del Infante Don Luis de Borbón,Palacio de la Mosquera o Palacio del Infante Don Luis de Borbón,2012-08-16,Monumento,Patrimonio arquitectónico
9,Arévalo,Arévalo,La parte antigua de la ciudad,Parte antigua de Arévalo; parte antigua de la ciudad de Arévalo; conjunto histórico artístico de Arévalo,1970-03-21,Conjunto histórico,Conjunto de bienes
10,Arévalo,Arévalo,Castillo de Arévalo,Castillo de Arévalo,1949-04-22,Castillos,Patrimonio arquitectónico
11,Arévalo,Arévalo,Murallas de Arévalo,Murallas de Arévalo,1949-04-22,Castillos,Patrimonio arquitectónico
12,Arévalo,Arévalo,Iglesia de San Martín,Iglesia de San Martín de Arévalo,1931-06-03,Monumento,Patrimonio arquitectónico
13,Arévalo,Arévalo,Iglesia de San Miguel,Iglesia de San Miguel de Arévalo,1991-10-24,Monumento,Patrimonio arquitectónico
14,Arévalo,Arévalo,Iglesia de Santa María de la Lugareja,Iglesia de Santa María de la Lugareja,1931-06-03,Monumento,Patrimonio arquitectónico
15,Arévalo,Arévalo,Iglesia de Santa María la Mayor,Iglesia de Santa María la Mayor de Arévalo,2006-01-26,Monumento,Patrimonio arquitectónico
16,Arévalo,Arévalo,Puente de Medina,Puente de Medina,1983-10-19,Monumento,Patrimonio arquitectónico
17,Ávila,Alamedilla del Berrocal,Castillo de Manzaneros,Castillo de Manzaneros,1949-04-22,Castillos,Patrimonio arquitectónico
18,Ávila,Ávila,La ciudad de Ávila,Ciudad Vieja de Ávila,1982-12-15,Conjunto histórico,Conjunto de bienes
19,Ávila,Ávila,Biblioteca Pública,Biblioteca Pública de Ávila,1985-06-25,"Archivos, museos y bibliotecas",Patrimonio arquitectónico
20,Ávila,Ávila,Casa de Luis Dávila,Escudo heráldico de la casa de Luis Dávila,1963-03-14,Escudos,Patrimonio arquitectónico
21,Ávila,La Aldea del Rey Niño,Rollo de justicia,Rollo de justicia de la Dehesa de la Serna,1963-03-14,Rollos de justicia,Patrimonio arquitectónico
22,Ávila,Ávila,Archivo Histórico Provincial,Archivo Histórico Provincial de Ávila,1985-06-25,Monumento,Patrimonio arquitectónico
23,Ávila,Ávila,Capilla de Mosen Rubi,Capilla de Mosén Rubí,1991-06-13,Monumento,Patrimonio arquitectónico
24,Ávila,Ávila,Convento de San Francisco,Convento de San Francisco de Ávila,1931-06-03,Monumento,Patrimonio arquitectónico
25,Ávila,Ávila,Convento de San José,Convento de San José de Ávila; Convento de las Madres de Ávila,1991-06-13,Monumento,Patrimonio arquitectónico
26,Ávila,Ávila,Convento de Santo Tomás,Real Monasterio de Santo Tomás,1931-06-03,Monumento,Patrimonio arquitectónico
27,Ávila,Ávila,"Convento Madres Clarisas ""Gordillas""",Convento de las Clarisas de Ávila; iglesia de Santa María de Jesús de Ávila; Las Gordillas,1991-10-24,Monumento,Patrimonio arquitectónico
28,Ávila,Ávila,Edificio del Episcopio,Edificio del Episcopio de Ávila; El Episcopio,1992-11-18,Monumento,Patrimonio arquitectónico
29,Ávila,Ávila,Ermita de Nuestra Señora de las Vacas,Ermita de Nuestra Señora de las Vacas,1992-04-09,Monumento,Patrimonio arquitectónico
30,Ávila,Ávila,Ermita de San Martín,Ermita de San Martín de Ávila,1983-06-29,Monumento,Patrimonio arquitectónico
31,Ávila,Ávila,Ermita de San Segundo del río Adaja,Ermita de San Segundo de Ávila; Ermita de San Segundo,1998-01-08,Monumento,Patrimonio arquitectónico
32,Ávila,Ávila,Iglesia Catedral El Salvador,Iglesia Catedral El Salvador; Catedral de Ávila; Catedral del Salvador,1914-10-31,Monumento,Patrimonio arquitectónico
33,Ávila,Ávila,Iglesia Convento de Santa Teresa,Iglesia Convento de Santa Teresa; basílica de Santa Teresa; iglesia de La Santa,1991-06-13,Monumento,Patrimonio arquitectónico
34,Ávila,Ávila,Iglesia de San Andrés,Iglesia de San Andrés de Ávila,1997-12-11,Monumento,Patrimonio arquitectónico
35,Ávila,Ávila,Iglesia de San Nicolás,Iglesia de San Nicolás de Ávila,1991-08-01,Monumento,Patrimonio arquitectónico
36,Ávila,Ávila,Iglesia de San Pedro,Iglesia de San Pedro de Ávila,1991-09-26,Monumento,Patrimonio arquitectónico
37,Ávila,Ávila,Iglesia de Santo Domingo,Antigua iglesia de Santo Domingo,1923-06-23,Monumento (Desaparecida hacia 1950),Patrimonio arquitectónico
38,Ávila,Ávila,Iglesia de Santo Tomé el Viejo; Museo de Ávila - Almacén visitable,Iglesia de Santo Tomé el Viejo; almacén visitable de Santo Tomé; almacén visitable del Museo de Ávila,1991-08-08,Monumento,Patrimonio arquitectónico
39,Ávila,Ávila,Iglesia Parroquial de San Juan,Iglesia Parroquial de San Juan de Ávila; Iglesia de San Juan de Ávila,1991-06-13,Monumento,Patrimonio arquitectónico
40,Ávila,Ávila,Iglesia Parroquial de Santiago,Iglesia Parroquial de Santiago; iglesia de Santiago de Ávila,1991-06-13,Monumento,Patrimonio arquitectónico
41,Ávila,Ávila,"Iglesia Santos Mártires Vicente, Sabina y Cristeta","Iglesia Santos Mártires Vicente, Sabina y Cristeta; Iglesia de San Vicente de Ávila",1997-12-04,Monumento,Patrimonio arquitectónico
42,Ávila,Ávila,Las Murallas,Murallas de Ávila; muralla de Ávila,1991-08-08,Monumento,Patrimonio arquitectónico
43,Ávila,Ávila,Mansión de los Velada o Torreón Aboin,Mansión de los Velada o Torreón Aboin; Palacio de Los Velada,1992-11-18,Monumento,Patrimonio arquitectónico
44,Ávila,Ávila,Matadero,Antiguo matadero de Ávila,2022-07-21,Monumento,Patrimonio arquitectónico
45,Ávila,Ávila,Monasterio de la Encarnación,Monasterio de la Encarnación de Ávila,1998-07-30,Monumento,Patrimonio arquitectónico
46,Ávila,Ávila,"Museo Provincial de Bellas Artes, Museo de Ávila",Museo Provincial de Ávila; Museo de Ávila; Palacio de los Deanes,1991-09-26,Monumento,Patrimonio arquitectónico
47,Ávila,Ávila,Palacio de D. Blasco Núñez Vela,Palacio de Blasco Núñez Vela; Palacio de Núñez Vela,1923-06-23,Monumento,Patrimonio arquitectónico
